ScriptName,LineNumber,ErrorType,Severity,IssueSummary,CurrentCode,SuggestedFix,Impact
"Capture-Installation.ps1",84,"Emoji Character Handling","CRITICAL","⚠️ emoji may cause encoding issues","Write-Host ""`n⚠️  NEXT STEPS:"" -ForegroundColor Yellow","Write-Host ""`n! NEXT STEPS:"" -ForegroundColor Yellow","Script may fail to parse or execute"
"Capture-Installation.ps1",86,"String Terminator / Backtick Escaping","CRITICAL","Backtick escaping inside string with emoji","Write-Host ""  2. Run: .\Deploy-Image.ps1 -CaptureMode -ImagePath `""$OutputPath`""`n""","Write-Host ""  2. Run: .\Deploy-Image.ps1 -CaptureMode -ImagePath """"$OutputPath""""  ""","Syntax error during script execution"
"CIS-Windows11-Hardening.ps1",6,"Missing Error Handling","MEDIUM","Set-LocalUser without checking if user exists","Set-LocalUser -Name ""Administrator"" -PasswordNeverExpires $true","if (Get-LocalUser -Name ""Administrator"" -EA SilentlyContinue) { Set-LocalUser -Name ""Administrator"" -PasswordNeverExpires $true }","Script may fail silently"
"CIS-Windows11-Hardening.ps1",18,"Deprecated Tool Usage","MEDIUM","ntrights.exe is deprecated/not available in modern PS","ntrights +r SeDenyInteractiveLogonRight -u Guests","Use net.exe or group policy cmdlets instead","Privilege assignment may fail"
"CIS_Tier_2_Hardening_Rollback.ps1",8,"Placeholder Values in Parameters","HIGH","Service name is literal placeholder text","Stop-Service -Name ""ServiceName"" -Force","Stop-Service -Name ""DiagTrack"" -Force","Script execution fails with Service not found"
"CIS_Tier_2_Hardening_Rollback.ps1",9,"Placeholder Values in Parameters","HIGH","Service name is literal placeholder text","Set-Service -Name ""ServiceName"" -StartupType ""Manual""","Set-Service -Name ""DiagTrack"" -StartupType ""Manual""","Script execution fails with Service not found"
"CIS_Tier_2_Hardening_Rollback.ps1",13,"Incorrect Parameter Name","HIGH","Should use EnableRealtimeMonitoring instead of DisableRealtimeMonitoring=false","Set-MpPreference -DisableRealtimeMonitoring $false","Set-MpPreference -EnableRealtimeMonitoring $true","Security misconfiguration"
"CIS_Tier_2_Hardening_Rollback.ps1",23,"Plain-text Password and Placeholder","HIGH","Hard-coded placeholder password in plain text (security risk)","Set-LocalUser -Name ""UserName"" -Password (ConvertTo-SecureString ""NewPassword"" -AsPlainText -Force)","$pwd = Read-Host -AsSecureString; Set-LocalUser -Name ""Administrator"" -Password $pwd","Security vulnerability and execution failure"
"Deploy-Image.ps1",83,"Emoji Character in Output","CRITICAL","Emoji character ✓ may cause encoding issues","DISM /Capture-Image /ImageFile:""$ImagePath"" /CaptureDir:""C:\"" /Name:""Windows11-Hardened"" /Compress:maximum","Same command is fine; issue is in Write-Host line 85","Script execution inconsistency"
"Deploy-Image.ps1",85,"Emoji Character Handling","CRITICAL","✓ emoji may cause parsing or execution issues","Write-Host ""`n✓ Image captured to: $ImagePath`n"" -ForegroundColor Green","Write-Host ""`n[OK] Image captured to: $ImagePath`n"" -ForegroundColor Green","Script output may fail"
"Deploy-Image.ps1",119,"Output Redirection Syntax","LOW","2>&1 is cmd.exe syntax in PowerShell context","DISM /Apply-Image ... 2>&1 | Add-Content $logPath","DISM /Apply-Image ... | Add-Content $logPath 2>&1 | Out-Null","Error output may not be captured"
"Enable-BitLocker.ps1",46,"Emoji Character Usage","CRITICAL","✓ emoji character in output","Write-Host ""  ✓ TPM 2.0 detected: $($tpm.SpecVersion)"" -ForegroundColor Green","Write-Host ""  [OK] TPM 2.0 detected: $($tpm.SpecVersion)"" -ForegroundColor Green","Potential encoding issues"
"Enable-BitLocker.ps1",53,"Emoji Character Usage","CRITICAL","✓ emoji character in output","Write-Host ""  ✓ UEFI Secure Boot: Enabled"" -ForegroundColor Green","Write-Host ""  [OK] UEFI Secure Boot: Enabled"" -ForegroundColor Green","Potential encoding issues"
"Enable-BitLocker.ps1",75,"Incomplete Parameter Setup","HIGH","BitLocker enablement missing TPM protector specification","Enable-BitLocker -MountPoint $MountPoint -EncryptionMethod XtsAes256 -UsedSpaceOnly","Enable-BitLocker -MountPoint $MountPoint -EncryptionMethod XtsAes256 -TpmProtector -UsedSpaceOnly","BitLocker may not use TPM protection"
"Enable-BitLocker.ps1",84,"Emoji Character Usage","CRITICAL","✓ emoji character in output","Write-Host ""  ✓ BitLocker enabled with XTS-AES-256"" -ForegroundColor Green","Write-Host ""  [OK] BitLocker enabled with XTS-AES-256"" -ForegroundColor Green","Potential encoding issues"
